zoom	geonameid	name	asciiname	latitude	longitude	country code	admin1 code	population
8	5121283	Hornell	Hornell	42.32785	-77.6611	US	NY	8657
8	5123477	Kingston	Kingston	41.92704	-73.99736	US	NY	23174
8	5129780	Olean	Olean	42.07756	-78.42974	US	NY	14823
8	5129852	Oneonta	Oneonta	42.45286	-75.06377	US	NY	12328
8	5130081	Oswego	Oswego	43.45535	-76.5105	US	NY	18434
8	5131692	Plattsburgh	Plattsburgh	44.69949	-73.45291	US	NY	19229
8	5133926	Riverhead	Riverhead	40.91704	-72.66204	US	NY	11332
8	5145215	Yonkers	Yonkers	40.93121	-73.89875	US	NY	197818
8	4453035	Asheboro	Asheboro	35.70791	-79.81364	US	NC	23443
8	4461101	Clinton	Clinton	34.99795	-78.32333	US	NC	8600
8	4464326	Dunn	Dunn	35.30627	-78.6089	US	NC	10015
8	4465088	Elizabeth City	Elizabeth City	36.2946	-76.25105	US	NC	18015
